iter	Logloss
0	0.649038753
1	0.6118029446
2	0.5818483161
3	0.558464718
4	0.5409927789
5	0.5220812838
6	0.5064974847
7	0.4932655275
8	0.4824824405
9	0.4737443793
10	0.4663463933
11	0.4597582711
12	0.4538526155
13	0.4491649915
14	0.4458550244
15	0.4426295805
16	0.4398938798
17	0.4372679776
18	0.4347117874
19	0.4324562562
20	0.4306552749
21	0.4284878641
22	0.4272098623
23	0.4258124238
24	0.4247395271
25	0.4234230596
26	0.4227367957
27	0.4217508352
28	0.4208786255
29	0.4199173492
30	0.4190773676
31	0.4184261378
32	0.4176854753
33	0.4171884926
34	0.416413697
35	0.4157160266
36	0.4153243038
37	0.4150567609
38	0.414523455
39	0.4140407212
40	0.4136029491
41	0.4132500909
42	0.4125897371
43	0.4119098495
44	0.4114460592
45	0.4107659194
46	0.4102487609
47	0.4099337517
48	0.4096658824
49	0.4091151219
50	0.4091069938
51	0.4087531572
52	0.4084250319
53	0.4079967587
54	0.4077584935
55	0.4073903419
56	0.4065675569
57	0.4059110482
58	0.4056391977
59	0.4051494439
60	0.4047073689
61	0.4042602706
62	0.4037824289
63	0.4032493125
64	0.4029930491
65	0.4025269424
66	0.4021663472
67	0.4018904109
68	0.401357312
69	0.4011005348
70	0.4005306668
71	0.400052354
72	0.3998276894
73	0.3992540351
