iter	Passed	Remaining
0	27	1988
1	53	1917
2	78	1853
3	88	1546
4	95	1323
5	121	1379
6	148	1423
7	174	1439
8	200	1446
9	225	1442
10	250	1434
11	275	1425
12	302	1417
13	328	1409
14	354	1393
15	379	1374
16	402	1348
17	428	1334
18	453	1313
19	481	1300
20	505	1276
21	532	1258
22	557	1235
23	582	1213
24	608	1192
25	637	1177
26	652	1136
27	674	1108
28	700	1086
29	726	1064
30	754	1046
31	781	1025
32	807	1003
33	831	978
34	858	956
35	885	934
36	912	912
37	928	879
38	952	855
39	976	829
40	998	803
41	1025	781
42	1050	757
43	1075	733
44	1100	709
45	1127	686
46	1152	662
47	1177	637
48	1198	611
49	1221	586
50	1235	557
51	1259	532
52	1283	508
53	1307	484
54	1331	459
55	1356	436
56	1385	413
57	1409	388
58	1432	364
59	1457	340
60	1482	315
61	1508	292
62	1535	268
63	1561	244
64	1586	219
65	1612	195
66	1637	171
67	1659	146
68	1686	122
69	1710	97
70	1735	73
71	1761	48
72	1787	24
73	1812	0
